,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Rikitea,55,PF,1583361189,72,-23.12,-134.97,77.59,18.32
1,Barrow,1,US,1583360386,93,71.29,-156.79,-29.2,3.36
2,Horizontina,13,BR,1583361192,49,-27.63,-54.31,71.28,2.39
3,Upata,39,VE,1583361193,69,8.01,-62.4,76.24,9.53
4,Kingaroy,40,AU,1583361195,78,-26.53,151.83,78.01,8.05
5,Labuhan,99,ID,1583361197,95,-6.88,112.21,73.22,9.31
6,Pacific Grove,1,US,1583360640,43,36.62,-121.92,79.0,10.29
7,Grootfontein,43,NA,1583361199,87,-19.57,18.12,62.26,9.62
8,Busselton,97,AU,1583361200,58,-33.65,115.33,61.0,9.24
9,Hasaki,75,JP,1583360687,93,35.73,140.83,46.4,2.24
10,Port Alfred,0,ZA,1583360703,83,-33.59,26.89,71.01,5.99
11,Jacareacanga,78,BR,1583360751,83,-6.22,-57.75,82.4,4.7
12,Torbay,90,CA,1583360768,93,47.67,-52.73,48.0,34.45
13,Costineşti,67,RO,1583361209,100,43.95,28.63,46.4,8.05
14,Port Elizabeth,57,ZA,1583360726,73,-33.92,25.57,71.6,14.99
15,Yangambi,41,CD,1583361211,78,0.81,24.43,74.75,4.45
16,Liverpool,75,GB,1583360982,86,53.41,-2.98,39.99,2.24
17,Port Macquarie,75,AU,1583361043,83,-31.43,152.92,77.0,11.41
18,Ushuaia,40,AR,1583361215,76,-54.8,-68.3,55.4,3.87
19,Nikolskoye,90,RU,1583361216,86,59.7,30.79,39.2,11.18
20,Botucatu,9,BR,1583361217,94,-22.89,-48.45,62.65,4.56
21,Beloha,35,MG,1583360854,78,-25.17,45.05,71.04,17.6
22,Bonthe,22,SL,1583361220,91,7.53,-12.51,79.25,4.45
23,Margate,75,GB,1583361033,93,51.38,1.39,45.0,9.17
24,Albany,40,US,1583361222,42,42.6,-73.97,46.4,13.87
25,George Town,20,MY,1583360628,88,5.41,100.34,82.0,2.68
26,Amapá,1,BR,1583361225,96,1.0,-52.0,72.68,3.85
27,Hermanus,10,ZA,1583361226,93,-34.42,19.23,66.0,2.84
28,Carutapera,100,BR,1583361227,78,-1.2,-46.02,81.03,13.44
29,Tacoronte,40,ES,1583361228,93,28.48,-16.41,69.01,10.29
30,Carnarvon,40,AU,1583360783,100,-24.87,113.63,77.0,9.17
31,Batemans Bay,100,AU,1583361232,97,-35.72,150.18,70.0,13.0
32,Atuona,27,PF,1583360827,74,-9.8,-139.03,80.85,12.66
33,Norman Wells,75,CA,1583360641,62,65.28,-126.83,-13.0,9.17
34,Yellowknife,75,CA,1583361236,64,62.46,-114.35,-2.99,13.87
35,Urusha,100,RU,1583361237,95,54.05,122.9,6.19,4.52
